Reef ID,ReefName,X_COORD,Y_COORD,Area_HA,Zone,MgmtArea,MgmtAreaCode,MgmtAreaShort
20-118,U/N Reef (20-118),150.427,-20.053,155.663,Habitat Protection,Southern Management Area,4,Southern
20-119,U/N Reef (20-119),150.417,-20.087,2089.673,Habitat Protection,Southern Management Area,4,Southern
20-121,U/N Reef (20-121),150.395,-20.084,25.832,Habitat Protection,Southern Management Area,4,Southern
20-122,U/N Reef (20-122),150.467,-20.074,8.234,Habitat Protection,Southern Management Area,4,Southern
20-123,U/N Reef (20-123),150.45,-20.077,19.203,Habitat Protection,Southern Management Area,4,Southern
20-124,U/N Reef (20-124),150.482,-20.088,12.8,Habitat Protection,Southern Management Area,4,Southern
20-125,U/N Reef (20-125),150.427,-20.121,543.522,Habitat Protection,Southern Management Area,4,Southern
20-126,U/N Reef (20-126),150.386,-20.15,2379.586,Habitat Protection,Southern Management Area,4,Southern
20-130,U/N Reef (20-130),150.369,-20.174,193.009,Habitat Protection,Southern Management Area,4,Southern
20-131,U/N Reef (20-131),150.446,-20.141,1283.747,Habitat Protection,Southern Management Area,4,Southern
20-132,U/N Reef (20-132),150.472,-20.193,5209.422,Habitat Protection,Southern Management Area,4,Southern
20-154,U/N Reef (20-154),150.497,-20.107,37.512,Habitat Protection,Southern Management Area,4,Southern
20-167,U/N Reef (20-167),150.513,-20.259,3163.274,Habitat Protection,Southern Management Area,4,Southern
20-170,U/N Reef (20-170),150.745,-20.241,114.992,Habitat Protection,Southern Management Area,4,Southern
20-171,U/N Reef (20-171),150.765,-20.229,96.728,Habitat Protection,Southern Management Area,4,Southern
20-172,U/N Reef (20-172),150.56,-20.282,1821.172,Habitat Protection,Southern Management Area,4,Southern
20-173,U/N Reef (20-173),150.711,-20.257,8.606,Habitat Protection,Southern Management Area,4,Southern
20-174,U/N Reef (20-174),150.643,-20.275,11.089,Habitat Protection,Southern Management Area,4,Southern
20-175,U/N Reef (20-175),150.74,-20.259,35.209,Habitat Protection,Southern Management Area,4,Southern
20-176,U/N Reef (20-176),150.738,-20.279,70.059,Habitat Protection,Southern Management Area,4,Southern
20-177,U/N Reef (20-177),150.757,-20.269,16.762,Habitat Protection,Southern Management Area,4,Southern
20-178,U/N Reef (20-178),150.742,-20.303,23.196,Habitat Protection,Southern Management Area,4,Southern
20-179,U/N Reef (20-179),150.608,-20.303,2973.628,Habitat Protection,Southern Management Area,4,Southern
20-180,U/N Reef (20-180),150.804,-20.281,27.235,Habitat Protection,Southern Management Area,4,Southern
20-181,U/N Reef (20-181),150.793,-20.29,24.741,Habitat Protection,Southern Management Area,4,Southern
20-182,U/N Reef (20-182),150.578,-20.333,745.356,Habitat Protection,Southern Management Area,4,Southern
20-183,U/N Reef (20-183),150.667,-20.324,15.155,Habitat Protection,Southern Management Area,4,Southern
20-184,U/N Reef (20-184),150.706,-20.321,9.947,Habitat Protection,Southern Management Area,4,Southern
20-185a,U/N Reef (20-185a),150.584,-20.354,1586.42,Habitat Protection,Southern Management Area,4,Southern
20-185b,U/N Reef (20-185b),150.599,-20.372,426.029,Habitat Protection,Southern Management Area,4,Southern
20-185c,U/N Reef (20-185c),150.656,-20.35,2371.086,Habitat Protection,Southern Management Area,4,Southern
20-186,U/N Reef (20-186),150.713,-20.354,1111.663,Habitat Protection,Southern Management Area,4,Southern
20-187,Muirhead Reef (20-187),150.752,-20.378,2281.356,Habitat Protection,Southern Management Area,4,Southern
20-188,U/N Reef (20-188),150.809,-20.35,34.404,Habitat Protection,Southern Management Area,4,Southern
20-189,U/N Reef (20-189),150.684,-20.371,7.134,Habitat Protection,Southern Management Area,4,Southern
20-190,U/N Reef (20-190),150.853,-20.348,369.809,Habitat Protection,Southern Management Area,4,Southern
20-191,U/N Reef (20-191),150.862,-20.333,177.61,Habitat Protection,Southern Management Area,4,Southern
20-192,U/N Reef (20-192),150.583,-20.398,498.26,Habitat Protection,Southern Management Area,4,Southern
20-193,U/N Reef (20-193),150.615,-20.397,474.663,Habitat Protection,Southern Management Area,4,Southern
20-194a,U/N Reef (20-194a),150.685,-20.416,3948.102,Habitat Protection,Southern Management Area,4,Southern
20-194b,U/N Reef (20-194b),150.722,-20.407,22.237,Habitat Protection,Southern Management Area,4,Southern
20-194c,U/N Reef (20-194c),150.752,-20.413,181.48,Habitat Protection,Southern Management Area,4,Southern
20-197,U/N Reef (20-197),150.726,-20.447,471.262,Habitat Protection,Southern Management Area,4,Southern
20-200,U/N Reef (20-200),150.601,-20.518,8124.99,Habitat Protection,Southern Management Area,4,Southern
20-201,U/N Reef (20-201),150.717,-20.486,155.166,Habitat Protection,Southern Management Area,4,Southern
20-202,U/N Reef (20-202),150.83,-20.496,73.824,Habitat Protection,Southern Management Area,4,Southern
20-213,Gould Island Reef (20-213),148.76,-20.672,17.208,Habitat Protection,Southern Management Area,4,Southern
20-214,Midge Reef (20-214),148.759,-20.687,18.152,Habitat Protection,Southern Management Area,4,Southern
20-215,U/N Reef (20-215),148.74,-20.696,25.883,Habitat Protection,Southern Management Area,4,Southern
20-222,Carpet Snake Reef (20-222),148.842,-20.824,40.196,Habitat Protection,Southern Management Area,4,Southern
20-237a,Goldsmith Island Reef (No 1) (20-237a),149.158,-20.665,4.016,Habitat Protection,Southern Management Area,4,Southern
20-237c,Goldsmith Island Reef (No 3) (20-237c),149.142,-20.695,7.082,Habitat Protection,Southern Management Area,4,Southern
20-237e,Goldsmith Island Reef (No 5) (20-237e),149.138,-20.691,8.255,Habitat Protection,Southern Management Area,4,Southern
20-238,Silversmith Reef (20-238),149.111,-20.587,24.341,Habitat Protection,Southern Management Area,4,Southern
20-239,Pincer Reef (20-239),149.097,-20.682,9.424,Habitat Protection,Southern Management Area,4,Southern
20-241,Anchorsmith Reef (20-241),149.064,-20.616,8.105,Habitat Protection,Southern Management Area,4,Southern
20-242,Blackcombe Reef (20-242),149.186,-20.601,25.359,Habitat Protection,Southern Management Area,4,Southern
20-243,Anvil Reef (20-243),149.072,-20.626,4.346,Habitat Protection,Southern Management Area,4,Southern
20-244,Carondelet Reef (20-244),149.182,-20.616,13.094,Habitat Protection,Southern Management Area,4,Southern
20-245,Blacksmith Reef (20-245),149.071,-20.645,6.197,Habitat Protection,Southern Management Area,4,Southern
20-246,Hammer Reef (20-246),149.062,-20.646,13.262,Habitat Protection,Southern Management Area,4,Southern
20-247,Ladysmith Reef (20-247),149.088,-20.663,1.663,Habitat Protection,Southern Management Area,4,Southern
20-248,Locksmith Reef (20-248),149.154,-20.652,1.819,Habitat Protection,Southern Management Area,4,Southern
20-249,Geranium Shoal (20-249),149.227,-20.646,20.669,Habitat Protection,Southern Management Area,4,Southern
20-250,Bellows Reef (20-250),149.071,-20.664,1.222,Habitat Protection,Southern Management Area,4,Southern
20-251,Forge Reef (20-251),149.095,-20.673,42.661,Habitat Protection,Southern Management Area,4,Southern
20-253b,Linne Island Reef (No 2) (20-253b),149.185,-20.689,11.698,Habitat Protection,Southern Management Area,4,Southern
20-253c,Linne Island Reef (No 3) (20-253c),149.182,-20.682,11.033,Habitat Protection,Southern Management Area,4,Southern
20-253d,Linne Island Reef (No 4) (20-253d),149.177,-20.676,8.228,Habitat Protection,Southern Management Area,4,Southern
20-257a,U/N Reef (20-257a),149.142,-20.706,4.848,Habitat Protection,Southern Management Area,4,Southern
20-257b,Ingot Island Reef (20-257b),149.14,-20.711,15.432,Habitat Protection,Southern Management Area,4,Southern
20-258,Specie Shoal (20-258),149.155,-20.723,15.253,Habitat Protection,Southern Management Area,4,Southern
20-259,Io Reef (20-259),149.128,-20.694,0.997,Habitat Protection,Southern Management Area,4,Southern
20-260,Bullion Rocks Reef (20-260),149.149,-20.739,11.549,Habitat Protection,Southern Management Area,4,Southern
20-261,Coffin Reef (20-261),149.232,-20.732,9.871,Habitat Protection,Southern Management Area,4,Southern
20-262a,Wigton Island Reef (No 1) (20-262a),149.47,-20.742,53.864,Habitat Protection,Southern Management Area,4,Southern
20-262b,Wigton Island Reef (No 2) (20-262b),149.485,-20.74,25.678,Habitat Protection,Southern Management Area,4,Southern
20-263,Silloth Reef (20-263),149.436,-20.766,70.75,Habitat Protection,Southern Management Area,4,Southern
20-264,Allonby Reef (20-264),149.162,-20.752,24.143,Habitat Protection,Southern Management Area,4,Southern
20-269,Cockermouth Reef (20-269),149.398,-20.779,187.629,Habitat Protection,Southern Management Area,4,Southern
20-272,Bolton Shoal (20-272),149.281,-20.843,16.212,Habitat Protection,Southern Management Area,4,Southern
20-273,Fantome Rocks (20-273),149.244,-20.861,83.534,Habitat Protection,Southern Management Area,4,Southern
20-276,Hyde Rock Reef (20-276),149.355,-20.914,10.202,Habitat Protection,Southern Management Area,4,Southern
20-289,Calder Reef (20-289),149.62,-20.771,67.002,Habitat Protection,Southern Management Area,4,Southern
20-290b,Scawfell Reef (No 2) (20-290b),149.591,-20.865,45.314,Habitat Protection,Southern Management Area,4,Southern
20-291,Three Rocks Reef (20-291),149.739,-20.951,26.954,Habitat Protection,Southern Management Area,4,Southern
20-292,Derwent Reef (20-292),149.782,-20.987,52.082,Habitat Protection,Southern Management Area,4,Southern
20-293,Skull Rock Reef (20-293),149.798,-20.988,8.197,Habitat Protection,Southern Management Area,4,Southern
