T_ID,SAMPLE_DATE,YEAR,YEAR.2,LT_SITE,TRANSECT_NO,VIZ,DEPTH,SCI,SLOPE_AV,RUG_AV,EXPOSURE
2023_CUMBERLAND_BY1_1,14/04/2023,2023,2023,BY1,1,4,5.5,2.64,2.2,1.2,Exposed
2023_CUMBERLAND_BY1_2,14/04/2023,2023,2023,BY1,2,4,6.5,4.2,3,1.4,Exposed
2023_CUMBERLAND_BY1_3,14/04/2023,2023,2023,BY1,3,4,5,3.64,2.6,1.4,Exposed
2023_CUMBERLAND_BY1_4,14/04/2023,2023,2023,BY1,4,4,5.5,2.4,2.4,1,Exposed
2023_CUMBERLAND_BY1_5,14/04/2023,2023,2023,BY1,5,4,6,3.12,2.6,1.2,Exposed
2023_CUMBERLAND_BY2_1,14/04/2023,2023,2023,BY2,1,4,4,3.08,2.2,1.4,Sheltered
2023_CUMBERLAND_BY2_2,14/04/2023,2023,2023,BY2,2,4,4,4.68,2.6,1.8,Sheltered
2023_CUMBERLAND_BY2_3,14/04/2023,2023,2023,BY2,3,4,5.5,4.08,3.4,1.2,Sheltered
2023_CUMBERLAND_BY2_4,14/04/2023,2023,2023,BY2,4,4,4,3.2,2,1.6,Sheltered
2023_CUMBERLAND_BY2_5,15/04/2023,2023,2023,BY2,5,4,5,4.32,2.4,1.8,Sheltered
2023_CUMBERLAND_SG3_1,15/04/2023,2023,2023,SG3,1,10,5,3.96,1.8,2.2,Exposed
2023_CUMBERLAND_SG3_2,15/04/2023,2023,2023,SG3,2,10,5,3.84,1.6,2.4,Exposed
2023_CUMBERLAND_SG3_3,15/04/2023,2023,2023,SG3,3,10,5,4.68,1.8,2.6,Exposed
2023_CUMBERLAND_SG3_4,15/04/2023,2023,2023,SG3,4,10,5,3.84,1.6,2.4,Exposed
2023_CUMBERLAND_SG3_5,15/04/2023,2023,2023,SG3,5,10,5,7.2,2.4,3,Exposed
2023_CUMBERLAND_SG4_1,15/04/2023,2023,2023,SG4,1,10,6,3.36,1.2,2.8,Sheltered
2023_CUMBERLAND_SG4_2,15/04/2023,2023,2023,SG4,2,10,6,4.8,1.6,3,Sheltered
2023_CUMBERLAND_SG4_3,15/04/2023,2023,2023,SG4,3,10,6,3.64,1.4,2.6,Sheltered
2023_CUMBERLAND_SG4_4,15/04/2023,2023,2023,SG4,4,12,5,3.64,1.4,2.6,Sheltered
2023_CUMBERLAND_SG4_5,15/04/2023,2023,2023,SG4,5,12,6,4.76,1.4,3.4,Sheltered
2023_CUMBERLAND_SG1_1,15/04/2023,2023,2023,SG1,1,9,7,2.52,1.4,1.8,Exposed
2023_CUMBERLAND_SG1_2,15/04/2023,2023,2023,SG1,2,9,7,5.28,2.2,2.4,Exposed
2023_CUMBERLAND_SG1_3,15/04/2023,2023,2023,SG1,3,9,7,6.76,2.6,2.6,Exposed
2023_CUMBERLAND_SG1_4,15/04/2023,2023,2023,SG1,4,8,6,1.6,1,1.6,Exposed
2023_CUMBERLAND_SG1_5,15/04/2023,2023,2023,SG1,5,8,6,1.6,1,1.6,Exposed
2023_CUMBERLAND_SG2_1,16/04/2023,2023,2023,SG2,1,8,7,1.44,1.2,1.2,Sheltered
2023_CUMBERLAND_SG2_2,16/04/2023,2023,2023,SG2,2,8,6.5,1.2,1,1.2,Sheltered
2023_CUMBERLAND_SG2_3,16/04/2023,2023,2023,SG2,3,8,6.5,1.44,1.2,1.2,Sheltered
2023_CUMBERLAND_SG2_4,16/04/2023,2023,2023,SG2,4,8,7,1.2,1,1.2,Sheltered
2023_CUMBERLAND_SG2_5,16/04/2023,2023,2023,SG2,5,8,7,1,1,1,Sheltered
2023_CUMBERLAND_SB2_1,16/04/2023,2023,2023,SB2,1,8,5,8.16,3.4,2.4,Sheltered
2023_CUMBERLAND_SB2_2,16/04/2023,2023,2023,SB2,2,8,5,2.88,2.4,1.2,Sheltered
2023_CUMBERLAND_SB2_3,16/04/2023,2023,2023,SB2,3,8,6,7.2,3.6,2,Sheltered
2023_CUMBERLAND_SB2_4,16/04/2023,2023,2023,SB2,4,8,5,8.84,3.4,2.6,Sheltered
