"","A_SECTOR","SHELF","AIMS_REEF_NAME","REEF_NAME","FULLREEF_ID","REPORT_YEAR","SITE_NO","TRANSECT_NO","region","id","Complexity","coral","algae","turf","cca","soft","acro","f.richness","f.N","f.biomass","simpD","shanH","N.herb","N.carn","FsimpD","FshanH","FsimpD2","FshanH2","comp1","comp2","fcomp1","fcomp2","lat","long"
"11611","CA","M","Arlington Reef","ARLINGTON REEF","16064S",2018,"1","1","Cairns","CA_M_ARLINGTON REEF_1_1_2018",3,7.5,6.5,43.5,22.5,17,0.0666666666666667,15,157,7212.09965464464,0.577777777777778,1.0775733728922,35,9,0.630370400421924,1.37430055571263,0.53162400097367,0.85074525670218,-0.54031721418798,-0.994694608891715,-0.683501853329932,-1.77652616058171,NA,NA
"11740","CA","M","Arlington Reef","ARLINGTON REEF","16064S",2018,"1","2","Cairns","CA_M_ARLINGTON REEF_1_2_2018",3,10.5,4,53.5,13,16,0.142857142857143,23,166,8754.56024203758,0.72108843537415,1.32901061278133,30,12,0.654231383364784,1.4256887664708,0.573595587167949,0.994977855345773,-0.159289161756928,-1.50836175039805,-0.9366660761543,-1.40752502252528,NA,NA
"11869","CA","M","Arlington Reef","ARLINGTON REEF","16064S",2018,"1","3","Cairns","CA_M_ARLINGTON REEF_1_3_2018",2.5,8.5,2,47,16,21.5,0,19,173,6974.17662290799,0.650519031141868,1.0733836203365,25,12,0.535868221457449,1.12308752614648,0.491563366634368,0.819006323772176,-0.730845291373806,-1.96726408878312,-1.20028097055746,-0.894135680518037,NA,NA
"11998","CA","M","Arlington Reef","ARLINGTON REEF","16064S",2018,"1","4","Cairns","CA_M_ARLINGTON REEF_1_4_2018",3,9,6,59,8,17,0.111111111111111,13,66,7190.78286864203,0.728395061728395,1.42644443385828,21,7,0.733241505968779,1.42288899354674,0.528466483011938,0.888071144747717,-1.15874987220433,-0.555382370187468,-2.37321814428218,-1.28291148270425,NA,NA
"12127","CA","M","Arlington Reef","ARLINGTON REEF","16064S",2018,"1","5","Cairns","CA_M_ARLINGTON REEF_1_5_2018",3,12,6,53,10,18.5,0,27,163,15428.4847638955,0.434027777777778,0.723254511001112,32,8,0.57096616357409,1.23592397713378,0.500282283864654,0.806583141256475,0.245427260099675,-2.07239002565766,-0.919903860605,-1.16104827713896,NA,NA
"12256","CA","M","Arlington Reef","ARLINGTON REEF","16064S",2018,"2","1","Cairns","CA_M_ARLINGTON REEF_2_1_2018",NA,11,2.5,75,8.5,0.5,0,18,430,80393.2972364908,0.566115702479339,0.957555696374223,18,224,0.598355868036777,1.11363978980887,0.573142239048134,0.949936563642722,-0.238058484239831,-2.0871051703857,1.09450249594463,3.18537227567344,NA,NA
"12385","CA","M","Arlington Reef","ARLINGTON REEF","16064S",2018,"2","2","Cairns","CA_M_ARLINGTON REEF_2_2_2018",3,16,2,64.5,8,9.5,0.0625,18,287,56794.8533526736,0.650390625,1.22362625577962,32,129,0.678701938836213,1.34854661627993,0.634923332807245,1.06343220772674,0.286221217511111,-1.41793448743468,0.741134185779268,1.55139994686464,NA,NA
"12514","CA","M","Arlington Reef","ARLINGTON REEF","16064S",2018,"2","3","Cairns","CA_M_ARLINGTON REEF_2_3_2018",3,18,4,62.5,4,10.5,0.0555555555555556,29,404,129224.618597407,0.449074074074074,0.876856972404631,60,229,0.645096069012842,1.39587714679432,0.587908048230566,1.01658670213639,0.778752788134256,-1.90356745706152,2.64902873922549,1.33200975486248,NA,NA
"12643","CA","M","Arlington Reef","ARLINGTON REEF","16064S",2018,"2","4","Cairns","CA_M_ARLINGTON REEF_2_4_2018",2.5,8.5,4.5,58.5,15.5,11.5,0,24,158,13462.652736828,0.705882352941177,1.3647193751408,32,5,0.578913635635315,1.17588693814031,0.499679538535491,0.779819474738029,-1.94499314522788,-0.226946706164024,-1.53276782957633,-1.01281474093262,NA,NA
"12772","CA","M","Arlington Reef","ARLINGTON REEF","16064S",2018,"2","5","Cairns","CA_M_ARLINGTON REEF_2_5_2018",2.5,11,8.5,42.5,13.5,23,0.0454545454545455,28,220,13781.0367059138,0.644628099173554,1.14350248708303,45,14,0.532190082644628,1.21871607562077,0.477561983471074,0.797649809709065,-0.967671986426166,-1.48600136202769,0.18073366127211,-1.69924726796411,NA,NA
"12901","CA","M","Arlington Reef","ARLINGTON REEF","16064S",2018,"3","1","Cairns","CA_M_ARLINGTON REEF_3_1_2018",NA,9,6,54.5,6.5,21,0,16,100,26028.4524434451,0.691358024691358,1.27302833658963,38,8,0.6474,1.29364676946431,0.5702,0.916247369453333,-1.61171549741198,-0.174675389900945,-1.57763741491205,-1.41398219969351,NA,NA
"13030","CA","M","Arlington Reef","ARLINGTON REEF","16064S",2018,"3","2","Cairns","CA_M_ARLINGTON REEF_3_2_2018",NA,15,3.5,68,9.5,2,0.0333333333333333,25,137,57522.9271546701,0.575555555555556,0.99704531773754,54,15,0.700090574884118,1.52734393986086,0.597687676487826,0.999705056632751,-0.0579059745748133,-0.78894995780505,-0.0555335913938759,-1.30853176533128,NA,NA
"13159","CA","M","Arlington Reef","ARLINGTON REEF","16064S",2018,"3","3","Cairns","CA_M_ARLINGTON REEF_3_3_2018",NA,9,5.5,65.5,5,14.5,0,22,106,10419.1804717437,0.493827160493827,0.686961576597323,31,7,0.688857244571022,1.55639003582884,0.56372374510502,0.932015948354883,0.0303901997268459,-1.7886115246771,-1.00454743202098,-1.45033244004113,NA,NA
